"geoid","name","B19001001","B19001002","B19001003","B19001004","B19001004_Error","B19001005","B19001006","B19001007","B19001008","B19001008_Error","B19001009","B19001010","B19001010_Error","B19001011","B19001012","B19001013","B19001013_Error","B19001014","B19001014_Error","B19001015","B19001015_Error","B19001016","B19001017"
"86000US90303","90303","7158","573","491","655","150","473","418","578","339","96","322","274","107","569","789","658","132","476","126","240","82","238","65"
"86000US90304","90304","6570","517","512","588","172","647","514","369","336","112","364","267","82","618","686","627","167","193","80","175","88","114","43"
"86000US90305","90305","5837","285","246","231","105","225","286","387","306","111","232","171","84","498","563","708","156","646","144","447","139","425","181"
"86000US90402","90402","5108","291","109","19","21","88","272","57","142","118","68","38","35","251","209","354","125","558","156","363","112","452","1837"
"86000US90403","90403","13939","727","683","584","215","521","337","495","489","165","463","367","140","857","1580","1532","292","1292","230","969","197","1100","1943"
"86000US90404","90404","9941","641","706","447","124","399","406","338","393","158","431","414","143","561","712","1285","211","1131","234","766","172","629","682"
"86000US90405","90405","14029","957","1053","288","114","501","335","420","261","103","412","516","182","808","1278","1510","283","1295","270","1133","221","1239","2023"
"86000US90501","90501","14192","607","555","866","210","650","804","1003","310","108","537","731","206","1046","1252","1969","276","1287","259","849","190","1038","688"
"86000US90502","90502","5732","299","165","236","140","221","327","277","306","127","232","163","77","535","733","643","167","736","154","302","113","332","225"
"86000US90504","90504","11388","443","427","443","154","349","516","344","423","165","587","353","128","721","1077","1971","299","1176","271","877","220","1056","625"
"86000US90710","90710","8940","451","417","564","114","417","410","442","431","129","431","505","131","764","881","1073","186","832","164","370","105","671","281"
"86000US90717","90717","8410","826","511","416","177","280","417","412","240","98","328","257","101","745","947","991","213","794","209","384","133","493","369"
"86000US90731","90731","22140","1526","1536","1396","261","1458","1202","1090","946","238","979","966","243","1565","1954","2628","342","1733","246","1103","211","1211","847"
"86000US90732","90732","8191","233","363","368","123","267","261","400","227","88","343","109","51","445","604","1211","208","1109","228","847","163","845","559"
"86000US90744","90744","14116","947","943","919","176","1270","868","963","881","173","633","574","144","1231","1375","1534","220","973","170","435","109","413","157"
"86000US90745","90745","14768","514","591","775","187","617","474","657","524","131","562","401","90","991","1671","2466","328","1739","245","1269","211","908","609"
"86000US90802","90802","20221","1814","1861","1388","256","1221","1171","877","890","211","891","869","204","1787","1836","2104","337","1209","278","847","218","631","825"
"86000US90810","90810","9264","621","612","615","135","559","515","597","443","139","335","396","119","686","1010","1190","197","738","169","449","123","255","243"
"86000US90813","90813","16558","1491","2017","1464","251","1505","1468","1309","1007","184","861","778","163","1228","926","1171","194","758","157","237","92","193","145"
"86000US91011","91011","6709","95","66","60","51","186","143","169","139","68","83","88","62","279","265","435","116","806","152","491","128","868","2536"
"86000US91030","91030","10394","460","226","359","129","246","232","286","239","85","418","365","152","824","1271","1241","231","921","192","807","194","1104","1395"
"86000US91040","91040","7057","282","416","227","125","323","332","344","257","88","293","141","83","466","592","869","204","872","161","498","149","599","546"
"86000US91042","91042","10019","728","525","572","140","413","558","458","441","124","359","528","138","621","975","1264","199","714","154","676","151","756","431"
"86000US91105","91105","5320","202","202","149","68","144","173","45","168","101","61","181","88","259","382","526","169","399","114","343","100","726","1360"
"86000US91201","91201","8241","346","514","689","225","645","441","343","367","118","525","195","89","603","814","857","177","714","189","446","164","325","417"
"86000US91204","91204","5705","380","467","602","170","519","241","327","331","115","250","399","136","530","384","549","186","324","120","157","82","145","100"
"86000US91205","91205","14143","752","1671","1492","264","1195","1000","694","848","170","471","604","143","1192","1074","1404","250","789","177","439","120","340","178"
"86000US91206","91206","12834","498","920","934","194","828","456","720","607","180","532","701","184","857","953","1500","256","1026","208","658","139","856","788"
"86000US91214","91214","10484","372","195","278","98","237","301","345","343","127","222","328","143","574","915","1863","243","1043","185","1035","184","1299","1134"
"86000US91302","91302","9215","525","191","211","110","189","181","218","338","136","250","177","78","318","447","709","143","1023","189","705","172","845","2888"
"86000US91303","91303","9209","499","663","499","170","616","703","630","352","113","539","417","133","731","927","1165","224","633","137","441","129","278","116"
"86000US91304","91304","16953","891","888","650","186","964","1132","600","831","189","808","629","150","1271","1808","1869","254","1412","229","1220","208","1103","877"
"86000US91306","91306","14220","721","818","720","153","496","825","772","395","122","554","684","140","983","1597","1959","270","1502","216","957","198","801","436"
"86000US91307","91307","8464","277","160","229","101","278","283","241","214","118","139","277","88","471","616","1181","219","1084","213","675","148","1149","1190"
"86000US91311","91311","13508","542","496","428","117","399","431","466","594","223","436","315","113","1051","1239","2171","271","1610","250","1031","190","1030","1269"
